ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,class
56.0,145.0,5.0,85.0,21.0,4.0,1.0,84.0,4.0,6.0,24.0,2.0,44.0,1.0,1.0,34.0,9.0,2.0,2.0,70.0,0
68.0,67.0,6.0,25.0,10.0,1.0,1.0,101.0,8.0,9.0,10.0,5.0,45.0,5.0,5.0,54.0,5.0,3.0,2.0,87.0,0
67.0,170.0,2.0,74.0,29.0,2.0,2.0,94.0,7.0,7.0,31.0,4.0,58.0,6.0,5.0,73.0,7.0,5.0,4.0,92.0,0
82.0,334.0,28.0,133.0,13.0,1.0,1.0,101.0,8.0,9.0,13.0,1.0,26.0,2.0,2.0,52.0,4.0,2.0,1.0,81.0,0
60.0,138.0,12.0,79.0,32.0,1.0,1.0,92.0,5.0,7.0,33.0,2.0,48.0,1.0,1.0,63.0,13.0,5.0,4.0,95.0,0
55.0,89.0,8.0,38.0,26.0,1.0,1.0,93.0,5.0,7.0,27.0,4.0,59.0,5.0,5.0,90.0,8.0,8.0,3.0,101.0,1
69.0,149.0,8.0,66.0,18.0,1.0,1.0,84.0,7.0,7.0,19.0,2.0,45.0,1.0,1.0,29.0,3.0,3.0,3.0,41.0,1
60.0,325.0,3.0,139.0,25.0,1.0,1.0,86.0,5.0,7.0,28.0,2.0,27.0,2.0,2.0,69.0,8.0,2.0,4.0,91.0,0
62.0,80.0,5.0,37.0,20.0,1.0,1.0,96.0,5.0,7.0,20.0,4.0,27.0,7.0,7.0,32.0,6.0,4.0,2.0,63.0,0
83.0,97.0,6.0,48.0,17.0,1.0,1.0,101.0,8.0,9.0,17.0,4.0,32.0,1.0,1.0,16.0,5.0,3.0,1.0,68.0,1
51.0,312.0,26.0,77.0,13.0,2.0,1.0,61.0,4.0,6.0,16.0,1.0,21.0,2.0,2.0,85.0,6.0,3.0,3.0,89.0,0
75.0,275.0,3.0,67.0,24.0,1.0,1.0,101.0,7.0,9.0,29.0,5.0,40.0,3.0,3.0,19.0,4.0,6.0,2.0,68.0,0
64.0,185.0,4.0,78.0,35.0,1.0,1.0,98.0,7.0,7.0,37.0,3.0,37.0,12.0,11.0,72.0,11.0,3.0,4.0,83.0,0
62.0,257.0,20.0,69.0,15.0,1.0,1.0,88.0,5.0,7.0,16.0,1.0,34.0,3.0,2.0,63.0,4.0,4.0,2.0,87.0,0
63.0,132.0,5.0,60.0,17.0,5.0,3.0,80.0,7.0,6.0,21.0,5.0,59.0,5.0,5.0,26.0,4.0,5.0,2.0,71.0,0
66.0,44.0,3.0,27.0,16.0,2.0,2.0,101.0,8.0,9.0,18.0,3.0,26.0,5.0,5.0,32.0,6.0,2.0,1.0,76.0,0
58.0,148.0,5.0,74.0,28.0,2.0,2.0,98.0,1.0,3.0,32.0,3.0,49.0,5.0,5.0,45.0,4.0,3.0,4.0,57.0,0
73.0,366.0,12.0,84.0,23.0,1.0,1.0,101.0,8.0,9.0,23.0,2.0,42.0,1.0,1.0,50.0,7.0,3.0,2.0,74.0,0
73.0,85.0,5.0,54.0,30.0,1.0,1.0,101.0,8.0,9.0,31.0,3.0,28.0,2.0,2.0,44.0,10.0,6.0,4.0,65.0,1
66.0,89.0,10.0,46.0,21.0,1.0,1.0,86.0,5.0,7.0,21.0,2.0,21.0,1.0,1.0,15.0,5.0,3.0,2.0,51.0,0
65.0,92.0,5.0,56.0,20.0,2.0,2.0,91.0,1.0,3.0,21.0,3.0,51.0,3.0,3.0,25.0,7.0,4.0,2.0,83.0,0
59.0,266.0,4.0,80.0,26.0,3.0,2.0,94.0,1.0,6.0,29.0,3.0,49.0,2.0,2.0,64.0,9.0,3.0,1.0,92.0,0
59.0,151.0,17.0,73.0,19.0,3.0,1.0,56.0,5.0,6.0,23.0,1.0,46.0,2.0,2.0,80.0,8.0,4.0,1.0,92.0,0
80.0,163.0,8.0,95.0,18.0,1.0,1.0,101.0,8.0,9.0,18.0,2.0,30.0,1.0,1.0,29.0,4.0,2.0,2.0,58.0,0
67.0,285.0,33.0,108.0,16.0,3.0,3.0,83.0,5.0,5.0,18.0,1.0,54.0,2.0,2.0,20.0,4.0,3.0,2.0,64.0,0
70.0,477.0,9.0,158.0,39.0,5.0,5.0,101.0,7.0,9.0,40.0,2.0,37.0,5.0,5.0,51.0,15.0,3.0,5.0,90.0,0
72.0,180.0,4.0,63.0,16.0,4.0,3.0,84.0,7.0,3.0,19.0,5.0,34.0,6.0,6.0,6.0,2.0,2.0,1.0,23.0,1
55.0,115.0,13.0,50.0,10.0,4.0,4.0,65.0,1.0,3.0,13.0,1.0,28.0,1.0,1.0,63.0,7.0,3.0,2.0,101.0,0
69.0,134.0,8.0,45.0,40.0,3.0,3.0,101.0,7.0,9.0,40.0,5.0,68.0,3.0,3.0,16.0,6.0,3.0,1.0,51.0,0
76.0,165.0,5.0,67.0,20.0,1.0,1.0,101.0,8.0,9.0,20.0,3.0,22.0,1.0,1.0,54.0,6.0,2.0,2.0,56.0,1
68.0,119.0,7.0,38.0,24.0,3.0,3.0,89.0,7.0,3.0,27.0,6.0,43.0,1.0,1.0,32.0,6.0,4.0,2.0,68.0,0
52.0,187.0,14.0,97.0,23.0,4.0,2.0,85.0,1.0,3.0,26.0,1.0,57.0,5.0,4.0,80.0,6.0,4.0,4.0,101.0,0
66.0,117.0,11.0,38.0,15.0,2.0,2.0,94.0,7.0,3.0,16.0,2.0,14.0,3.0,3.0,53.0,4.0,2.0,3.0,57.0,0
91.0,231.0,14.0,74.0,12.0,1.0,1.0,101.0,8.0,9.0,14.0,1.0,63.0,1.0,1.0,2.0,2.0,5.0,1.0,72.0,1
77.0,294.0,5.0,75.0,34.0,1.0,1.0,101.0,8.0,9.0,35.0,2.0,39.0,3.0,3.0,38.0,14.0,2.0,1.0,89.0,0
71.0,38.0,5.0,21.0,20.0,1.0,1.0,101.0,8.0,9.0,21.0,3.0,21.0,4.0,4.0,43.0,3.0,3.0,2.0,51.0,0
74.0,256.0,17.0,101.0,41.0,1.0,1.0,101.0,8.0,9.0,45.0,1.0,24.0,2.0,2.0,80.0,19.0,2.0,14.0,81.0,0
73.0,210.0,3.0,96.0,42.0,1.0,1.0,101.0,8.0,9.0,43.0,4.0,39.0,2.0,2.0,43.0,8.0,3.0,3.0,83.0,0
84.0,399.0,4.0,119.0,30.0,1.0,1.0,101.0,8.0,9.0,30.0,3.0,32.0,4.0,4.0,23.0,7.0,4.0,1.0,70.0,1
88.0,327.0,8.0,112.0,27.0,1.0,1.0,101.0,8.0,9.0,31.0,2.0,41.0,1.0,1.0,13.0,4.0,3.0,1.0,57.0,1
56.0,115.0,7.0,60.0,20.0,1.0,1.0,90.0,5.0,7.0,20.0,2.0,54.0,2.0,2.0,98.0,9.0,3.0,7.0,101.0,0
80.0,244.0,18.0,78.0,36.0,1.0,1.0,98.0,7.0,7.0,40.0,1.0,37.0,3.0,3.0,21.0,5.0,2.0,1.0,57.0,1
76.0,184.0,19.0,93.0,22.0,1.0,1.0,101.0,8.0,9.0,23.0,1.0,28.0,1.0,1.0,89.0,10.0,4.0,6.0,94.0,0
71.0,177.0,9.0,97.0,21.0,1.0,1.0,96.0,6.0,7.0,21.0,2.0,31.0,1.0,1.0,75.0,9.0,5.0,4.0,87.0,0
79.0,369.0,7.0,75.0,43.0,1.0,1.0,99.0,6.0,7.0,44.0,4.0,50.0,4.0,4.0,11.0,9.0,3.0,1.0,68.0,0
76.0,301.0,15.0,125.0,23.0,1.0,1.0,101.0,8.0,9.0,24.0,1.0,40.0,1.0,1.0,58.0,5.0,2.0,2.0,101.0,0
77.0,151.0,12.0,55.0,15.0,1.0,1.0,101.0,8.0,9.0,16.0,2.0,41.0,1.0,1.0,33.0,5.0,3.0,1.0,76.0,0
73.0,169.0,9.0,63.0,11.0,1.0,1.0,101.0,8.0,9.0,12.0,2.0,19.0,6.0,6.0,61.0,8.0,2.0,1.0,101.0,0
56.0,119.0,5.0,70.0,13.0,8.0,5.0,51.0,4.0,4.0,23.0,3.0,28.0,3.0,3.0,80.0,6.0,3.0,3.0,89.0,0
75.0,278.0,31.0,124.0,25.0,1.0,1.0,89.0,7.0,7.0,25.0,1.0,26.0,1.0,1.0,46.0,13.0,2.0,3.0,94.0,0
64.0,175.0,2.0,63.0,12.0,2.0,1.0,80.0,4.0,6.0,15.0,2.0,30.0,6.0,6.0,38.0,6.0,3.0,3.0,71.0,0
82.0,138.0,10.0,67.0,35.0,1.0,1.0,101.0,8.0,9.0,35.0,2.0,63.0,2.0,2.0,25.0,4.0,5.0,1.0,79.0,0
60.0,244.0,12.0,80.0,39.0,2.0,2.0,77.0,5.0,7.0,44.0,2.0,51.0,2.0,2.0,64.0,8.0,5.0,5.0,87.0,0
67.0,177.0,12.0,82.0,44.0,1.0,1.0,99.0,5.0,7.0,45.0,2.0,40.0,3.0,3.0,37.0,4.0,5.0,2.0,48.0,0
73.0,170.0,6.0,61.0,22.0,2.0,2.0,97.0,7.0,4.0,24.0,2.0,53.0,5.0,5.0,67.0,5.0,4.0,2.0,79.0,0
