emp_length,annual_inc,open_acc,cr_history_yrs,grade,home_ownership,purpose,addr_state,loan_status
10,24000.0,3.0,33,B,RENT,credit_card,AZ,1
1,30000.0,3.0,19,C,RENT,car,GA,0
10,12252.0,2.0,16,C,RENT,small_business,IL,1
10,49200.0,10.0,22,C,RENT,other,CA,1
3,36000.0,9.0,13,A,RENT,wedding,AZ,1
8,47004.0,7.0,13,C,RENT,debt_consolidation,NC,1
9,48000.0,4.0,11,E,RENT,car,CA,1
4,40000.0,11.0,14,F,OWN,small_business,CA,0
1,15000.0,2.0,13,B,RENT,other,TX,0
5,72000.0,14.0,20,C,OWN,debt_consolidation,AZ,1
10,75000.0,12.0,28,B,OWN,debt_consolidation,CA,1
1,30000.0,4.0,14,C,RENT,debt_consolidation,VA,0
3,15000.0,11.0,15,B,RENT,credit_card,IL,1
3,100000.0,14.0,27,B,RENT,other,CA,0
1,28000.0,11.0,10,D,RENT,debt_consolidation,MO,1
4,42000.0,14.0,19,C,RENT,home_improvement,CA,1
10,110000.0,20.0,24,A,MORTGAGE,major_purchase,CT,1
1,84000.0,4.0,14,B,MORTGAGE,medical,UT,1
6,77385.19,8.0,17,A,RENT,debt_consolidation,CA,1
3,43370.0,8.0,20,C,RENT,debt_consolidation,TX,1
10,105000.0,7.0,35,B,RENT,debt_consolidation,FL,0
10,50000.0,8.0,33,B,OWN,credit_card,TX,1
5,50000.0,6.0,15,B,RENT,debt_consolidation,CA,1
1,76000.0,7.0,17,B,RENT,major_purchase,CA,0
2,92000.0,8.0,16,B,MORTGAGE,credit_card,IL,1
9,60000.0,7.0,14,C,RENT,debt_consolidation,NY,0
2,50004.0,14.0,14,D,RENT,other,PA,0
10,106000.0,12.0,33,B,MORTGAGE,debt_consolidation,FL,1
1,25000.0,8.0,11,B,RENT,credit_card,MN,1
7,17108.0,6.0,30,A,MORTGAGE,debt_consolidation,NY,1
5,75000.0,12.0,36,A,MORTGAGE,debt_consolidation,NJ,1
2,24044.0,8.0,13,A,RENT,debt_consolidation,OR,1
7,34000.0,6.0,10,C,RENT,credit_card,CA,1
10,41000.0,9.0,13,B,RENT,credit_card,KY,1
2,55596.0,7.0,17,B,RENT,moving,CA,1
1,45000.0,7.0,13,A,RENT,debt_consolidation,OH,1
1,36852.0,7.0,11,B,RENT,debt_consolidation,AZ,1
4,68004.0,6.0,15,A,RENT,other,SC,1
10,62300.0,15.0,24,A,RENT,debt_consolidation,NJ,1
