,is_male,has_eaten,sd,wt,dp_mins,bac,class,id_code
0,1,0,4.0,79.0,122.0,0.05393474465298996,under,2079.29
1,1,0,5.0,74.0,110.0,0.0851747437092265,over,3466.61
2,1,0,5.0,75.0,74.0,0.09267241379310345,over,2571.66
3,1,1,4.0,83.0,119.0,0.05811560033236395,under,2296.03
4,1,0,8.0,76.0,85.0,0.15428539019963705,over,7973.47
5,1,0,11.0,65.0,95.0,0.25845689655172416,over,17555.68
6,0,1,4.0,64.0,95.0,0.10495068027210885,over,2552.4
7,0,1,4.0,61.0,89.0,0.11271792684286829,over,2447.78
8,1,1,6.0,88.0,76.0,0.10219905956112854,over,4101.04
9,1,1,7.0,77.0,68.0,0.14209874608150472,over,5208.2
10,1,1,6.0,87.0,80.0,0.10250594530321049,over,4280.65
11,1,0,6.0,78.0,127.0,0.09652586206896555,over,5737.11
12,1,1,7.0,70.0,94.0,0.15075862068965523,over,6943.94
13,1,0,5.0,82.0,107.0,0.07493208578637513,under,3287.27
14,1,1,8.0,81.0,80.0,0.1521998722860792,over,7890.04
15,0,0,3.0,63.0,150.0,0.051494169096209914,under,1459.86
16,0,1,3.0,67.0,127.0,0.06089924357802824,under,1554.57
17,0,1,4.0,64.0,107.0,0.10155068027210884,over,2781.68
18,1,0,8.0,60.0,86.0,0.20084482758620695,over,8290.87
19,0,0,5.0,60.0,64.0,0.14635646258503404,over,2810.04
20,1,0,5.0,96.0,122.0,0.056353448275862084,under,3300.06
21,0,0,4.0,82.0,102.0,0.06738670980587358,under,2254.49
22,1,1,8.0,81.0,116.0,0.14319987228607922,over,10764.05
23,0,0,4.0,61.0,98.0,0.1016679268428683,over,2431.08
24,1,1,7.0,77.0,111.0,0.13134874608150474,over,7858.46
25,0,1,3.0,59.0,99.0,0.08081665513663093,over,1416.15
26,0,0,3.0,63.0,91.0,0.06821083576287658,under,1173.16
27,1,0,3.0,79.0,112.0,0.035326058489742476,under,937.69
28,0,0,2.0,68.0,90.0,0.03255522208883554,under,398.48
29,1,1,10.0,70.0,74.0,0.2272266009852217,over,11770.34
30,1,0,8.0,75.0,45.0,0.1666258620689655,over,4498.9
31,1,0,8.0,66.0,83.0,0.18138166144200632,over,7948.87
32,0,0,4.0,57.0,101.0,0.10990105621195849,over,2530.8
33,0,1,2.0,56.0,74.0,0.05802896015549078,under,480.94
34,1,1,7.0,81.0,48.0,0.1396123882503193,over,3799.69
35,1,0,9.0,72.0,70.0,0.19094827586206897,over,8661.41
36,0,1,2.0,69.0,95.0,0.038797175391895894,under,508.63
37,1,1,3.0,79.0,122.0,0.040326058489742474,under,1165.99
38,0,0,4.0,62.0,62.0,0.10978027210884353,over,1687.98
39,1,1,12.0,76.0,104.0,0.24480308529945558,over,23219.08
40,1,1,7.0,96.0,127.0,0.09734482758620691,over,8307.8
41,0,0,5.0,68.0,85.0,0.1210547218887555,over,3498.48
42,0,0,3.0,65.0,112.0,0.05936870748299321,under,1296.61
43,1,0,5.0,77.0,68.0,0.09128481862964623,over,2389.84
44,0,1,4.0,62.0,92.0,0.10978027210884353,over,2504.75
45,1,0,8.0,59.0,107.0,0.19936338398597314,over,10068.65
46,0,0,5.0,63.0,81.0,0.1337069484936832,over,3411.53
47,0,0,5.0,61.0,84.0,0.1379932418869187,over,3535.39
48,0,1,4.0,70.0,65.0,0.10287633624878524,over,1872.35
49,1,1,8.0,84.0,101.0,0.1410677339901478,over,9574.55
50,0,0,3.0,62.0,124.0,0.06037687074829932,under,1392.53
51,0,0,4.0,77.0,64.0,0.0844057602261684,over,1663.81
52,0,0,5.0,65.0,117.0,0.11868673469387757,over,4513.06
53,1,0,4.0,77.0,111.0,0.058877854903716983,under,2012.92
54,0,1,2.0,72.0,89.0,0.038113265306122454,under,488.46
55,0,1,4.0,60.0,99.0,0.11204183673469388,over,2662.11
56,0,1,3.0,74.0,101.0,0.05990539621253907,under,1343.2
57,0,1,4.0,63.0,68.0,0.11455889212827988,over,1963.08
58,0,0,2.0,67.0,111.0,0.027471717940907706,under,408.61
59,0,0,4.0,70.0,96.0,0.08559300291545191,over,2300.74
60,1,0,7.0,89.0,97.0,0.10690846571096477,over,6460.59
61,1,0,8.0,92.0,82.0,0.12450749625187406,over,7514.28
62,1,1,6.0,63.0,122.0,0.1358177339901478,over,6263.37
63,0,1,2.0,77.0,75.0,0.03851954677975086,under,444.9
64,0,1,3.0,57.0,82.0,0.08915495882563552,over,1250.13
65,0,0,4.0,56.0,103.0,0.11180792031098155,over,2579.63
66,1,0,8.0,87.0,88.0,0.13134126040428065,over,8044.39
67,1,1,6.0,83.0,123.0,0.09729840049854593,over,5959.92
68,1,1,5.0,83.0,73.0,0.08970700041545494,over,2717.67
69,0,0,5.0,77.0,113.0,0.09615720028271052,over,4183.32
70,1,0,9.0,80.0,112.0,0.1596034482758621,over,12870.42
71,1,0,5.0,71.0,60.0,0.10243564837299661,over,2181.88
72,1,1,4.0,91.0,92.0,0.057800492610837445,under,1935.62
73,0,1,2.0,80.0,97.0,0.03036360544217687,under,471.24
74,0,0,4.0,68.0,124.0,0.08097711084433773,over,2731.2
75,0,1,4.0,71.0,90.0,0.0942043690715723,over,2407.86
76,1,1,9.0,79.0,103.0,0.17172817546922745,over,12576.17
